file,x,y,w,h
naruto_full_nine_tails_22_000.png,4,113,134,62
naruto_full_nine_tails_22_001.png,13,17,98,71
naruto_full_nine_tails_22_002.png,132,16,98,71
naruto_full_nine_tails_22_003.png,160,111,104,58
naruto_full_nine_tails_22_004.png,245,16,108,71
naruto_full_nine_tails_22_005.png,286,112,143,58
naruto_full_nine_tails_22_006.png,425,26,68,63
naruto_full_nine_tails_22_007.png,437,113,74,58
naruto_full_nine_tails_22_008.png,511,22,31,71
naruto_full_nine_tails_22_009.png,560,22,110,76
naruto_full_nine_tails_22_010.png,699,23,76,75
naruto_full_nine_tails_22_011.png,803,29,81,63
naruto_full_nine_tails_22_012.png,910,16,108,74
naruto_full_nine_tails_22_013.png,1031,134,120,71
naruto_full_nine_tails_22_014.png,1034,39,134,62
naruto_full_nine_tails_22_015.png,1167,142,112,67
naruto_full_nine_tails_22_016.png,1189,43,156,68
